iter	RMSE
703	2.190886624
704	2.190085614
705	2.186793398
706	2.186219209
707	2.185318433
708	2.184806343
709	2.182041594
710	2.180368342
711	2.177175594
712	2.175077597
713	2.172852344
714	2.170816671
715	2.169677979
716	2.167188708
717	2.164328351
718	2.161787468
719	2.159592254
720	2.157229564
721	2.156163925
722	2.154844755
723	2.152844753
724	2.152029584
725	2.150917124
726	2.149028294
727	2.147244652
728	2.145694269
729	2.143893947
730	2.141536849
731	2.139346296
732	2.13771476
733	2.135601766
734	2.133989158
735	2.13355213
736	2.130995528
737	2.129811789
738	2.127572118
739	2.125864034
740	2.123084323
741	2.120986497
742	2.118756955
743	2.116655901
744	2.114477924
745	2.113417078
746	2.111462889
747	2.110465877
748	2.108592361
749	2.105658703
750	2.104460763
751	2.101918102
752	2.099027965
753	2.097689301
754	2.095662822
755	2.092634253
756	2.090827409
757	2.089970869
758	2.087235524
759	2.085511698
760	2.083040564
761	2.08172296
762	2.079926491
763	2.078817606
764	2.07797418
765	2.077306771
766	2.076778775
767	2.075357143
768	2.073701235
769	2.072569488
770	2.070901344
771	2.068546521
772	2.065954826
773	2.063860795
774	2.062387129
775	2.060707189
776	2.058447187
777	2.056891708
778	2.054767149
779	2.052620007
780	2.050620852
781	2.048924825
782	2.046836229
783	2.044242378
784	2.043603678
785	2.042500704
786	2.0418467
787	2.041043578
788	2.040569779
789	2.039377103
790	2.037878688
791	2.03705789
792	2.035537223
793	2.033942604
794	2.032284982
795	2.030441595
796	2.029954414
797	2.028431576
798	2.027586888
799	2.025727061
800	2.02476358
801	2.023361114
802	2.021396145
803	2.020261932
804	2.018070037
805	2.016648047
806	2.014770919
807	2.013344832
808	2.011762781
809	2.010673282
810	2.008029489
811	2.006107641
812	2.004257191
813	2.003008484
814	2.00157035
815	2.000082245
816	1.99791636
817	1.996306228
818	1.994676887
819	1.993090098
820	1.991440723
821	1.989448461
822	1.988874919
823	1.988032738
824	1.986317877
825	1.983893425
826	1.982927726
827	1.981324325
828	1.979565646
829	1.978362001
830	1.97671292
831	1.975166647
832	1.9731484
833	1.972418297
834	1.970737521
835	1.969406101
836	1.967627624
837	1.965587264
838	1.963437072
839	1.960599956
840	1.959118087
841	1.958524293
842	1.958151435
843	1.956689448
844	1.955167057
845	1.954457413
846	1.951958518
847	1.950127498
848	1.948601941
849	1.947447824
850	1.946270477
851	1.945530924
852	1.943329333
853	1.941380009
854	1.939808097
855	1.937784514
856	1.936210386
857	1.934599911
858	1.933899963
859	1.931543837
860	1.929625181
861	1.928534652
862	1.927300194
863	1.925463228
864	1.923918108
865	1.922829038
866	1.922595193
867	1.921378868
868	1.920100132
869	1.918818341
870	1.917758513
871	1.915961977
872	1.914931866
873	1.913703886
874	1.911843096
875	1.91018826
876	1.908919411
877	1.908086916
878	1.906954156
879	1.904878834
880	1.904117399
881	1.902772841
882	1.901656895
883	1.900596886
884	1.899459513
885	1.897470854
886	1.89691098
887	1.895261771
888	1.89481079
889	1.894350317
890	1.89356405
891	1.892600082
892	1.890714936
893	1.890275993
894	1.887790201
895	1.886584095
896	1.885540229
897	1.884127591
898	1.882251734
899	1.880727739
900	1.879563521
901	1.878910976
902	1.877761834
903	1.877131919
904	1.876152431
905	1.874958564
906	1.87375267
907	1.873067221
908	1.871997536
909	1.871409475
910	1.870076196
911	1.869458421
912	1.868762565
913	1.867123502
914	1.865633008
915	1.864763547
916	1.862949137
917	1.861900709
918	1.86128724
919	1.860239787
920	1.859533491
921	1.857616876
922	1.856429984
923	1.85454697
924	1.853206421
925	1.851190694
926	1.850225022
927	1.848333764
928	1.846208682
929	1.845303008
930	1.843944564
931	1.8431034
932	1.842582047
933	1.841011379
934	1.839437452
935	1.838159042
936	1.836485893
937	1.835879413
938	1.833902655
939	1.833321271
940	1.831948165
941	1.830549476
942	1.82941781
943	1.82803676
944	1.82638303
945	1.825769749
946	1.825056779
947	1.823636481
948	1.823057496
949	1.821932289
950	1.821147713
951	1.820316182
952	1.818803584
953	1.816841787
954	1.815345491
955	1.813829414
956	1.812457053
957	1.811013064
958	1.808984305
959	1.807829297
960	1.806819381
961	1.805708335
962	1.80373884
963	1.80309838
964	1.802900123
965	1.80132897
966	1.799864728
967	1.799742617
968	1.798584682
969	1.79766801
970	1.79675187
971	1.796010904
972	1.7953135
973	1.794957343
974	1.793392746
975	1.791820143
976	1.79046567
977	1.789251788
978	1.788319968
979	1.787331036
980	1.786243306
981	1.78499845
982	1.783924993
983	1.783039463
984	1.781518556
985	1.78016384
986	1.779080597
987	1.778077915
988	1.777241308
989	1.77577137
990	1.774474338
991	1.77269208
992	1.77212984
993	1.771181086
994	1.770793033
995	1.769613908
996	1.768724223
997	1.767188766
998	1.765879655
999	1.764424641
